task_id,phase,criterion_id,acceptance_criterion,verification_status,evidence_path
B00,Brand,B00-AC01,Every substantive public claim has a stable claim ID or is explicitly classified as non-claim copy.,not_run,
B00,Brand,B00-AC02,"Every claim record has status, scope, surfaces, last-checked date and zero or more source IDs.",not_run,
B00,Brand,B00-AC03,Every source record states exactly what it supports and its caveat.,not_run,
B00,Brand,B00-AC04,Local owner-input files are excluded from Git.,not_run,
B00,Brand,B00-AC05,"The ledger distinguishes personal, company-level and product-level facts.",not_run,
B00,Brand,B00-AC06,`node qa/check.mjs` still passes.,not_run,
B01,Brand,B01-AC01,"All four initial public signals have working URLs, exact dates and accurate role labels.",not_run,
B01,Brand,B01-AC02,No production file contains the old verified-URL TODO comments.,not_run,
B01,Brand,B01-AC03,"No card says keynote, award, interview or author unless the source supports that exact relation.",not_run,
B01,Brand,B01-AC04,Source and claim ledgers are updated.,not_run,
B01,Brand,B01-AC05,`node qa/check.mjs` passes and an external-link check records successful HTTP responses where network access is available.,not_run,
B02,Brand,B02-AC01,A repository-wide search finds one coherent primary professional identity.,not_run,
B02,Brand,B02-AC02,The verified StackLevel title is consistent on every current-role surface.,not_run,
B02,Brand,B02-AC03,No unsupported primary identity remains.,not_run,
B02,Brand,B02-AC04,No vague MIPT wording remains.,not_run,
B02,Brand,B02-AC05,Company-level client/metric evidence is not attributed personally.,not_run,
B02,Brand,B02-AC06,Visible and machine-readable profiles agree.,not_run,
B02,Brand,B02-AC07,`node qa/check.mjs` passes.,not_run,
B03,Brand,B03-AC01,"The first screen states professional territory, current level and a functional next action.",not_run,
B03,Brand,B03-AC02,Every hero proof item maps to a verified or narrowly owner-confirmed claim.,not_run,
B03,Brand,B03-AC03,The page sequence matches the required narrative.,not_run,
B03,Brand,B03-AC04,No philosophy card is presented as an outcome.,not_run,
B03,Brand,B03-AC05,"At 320, 390, 768 and 1440 px, content remains readable with no document overflow.",not_run,
B03,Brand,B03-AC06,`node qa/check.mjs` passes.,not_run,
B04,Brand,B04-AC01,"Every visible proof item has a date/range, category, exact scope and source or explicit owner-confirmed status.",not_run,
B04,Brand,B04-AC02,Responsibilities and beliefs are not labelled as proof.,not_run,
B04,Brand,B04-AC03,No unsupported aggregate metric appears.,not_run,
B04,Brand,B04-AC04,"At least one independently verified current role, one product recognition record and one public-work record are present.",not_run,
B04,Brand,B04-AC05,Track Record wording is consistent in navigation and metadata.,not_run,
B04,Brand,B04-AC06,`node qa/check.mjs` passes.,not_run,
B05,Brand,B05-AC01,"A banker can identify the decision, controls, deliverables, evidence and next action.",not_run,
B05,Brand,B05-AC02,No wording implies a named banking deployment without proof.,not_run,
B05,Brand,B05-AC03,The page separates method from achieved outcomes.,not_run,
B05,Brand,B05-AC04,Relevant source links are present.,not_run,
B05,Brand,B05-AC05,`node qa/check.mjs` passes.,not_run,
B06,Brand,B06-AC01,"The page states scope, method, deliverable, limitations and CTA.",not_run,
B06,Brand,B06-AC02,No reader could reasonably infer that Vadim is presenting himself as a fund manager or investment adviser.,not_run,
B06,Brand,B06-AC03,No engagement count or transaction outcome appears without evidence.,not_run,
B06,Brand,B06-AC04,Metadata uses `AI Technical Due Diligence`.,not_run,
B06,Brand,B06-AC05,`node qa/check.mjs` passes.,not_run,
B07,Brand,B07-AC01,"A founder can identify when to engage, what happens, what is delivered and what is outside scope.",not_run,
B07,Brand,B07-AC02,At least one builder proof is linked.,not_run,
B07,Brand,B07-AC03,No unsupported founder-success metric appears.,not_run,
B07,Brand,B07-AC04,`node qa/check.mjs` passes.,not_run,
B08,Brand,B08-AC01,"A technical executive can understand Century's role, boundaries and current evidence.",not_run,
B08,Brand,B08-AC02,Product recognition is accurately attributed.,not_run,
B08,Brand,B08-AC03,Vadim's role is exact or omitted.,not_run,
B08,Brand,B08-AC04,Machine-readable product and person relations are consistent.,not_run,
B08,Brand,B08-AC05,`node qa/check.mjs` passes.,not_run,
B09,Brand,B09-AC01,Every displayed media/speaking item is linked and dated.,not_run,
B09,Brand,B09-AC02,Insights clearly distinguishes published work from planned topics.,not_run,
B09,Brand,B09-AC03,About uses exact roles/dates and contains no vague credential.,not_run,
B09,Brand,B09-AC04,Bio variants are internally consistent.,not_run,
B09,Brand,B09-AC05,`node qa/check.mjs` passes.,not_run,
B10,Brand,B10-AC01,Each primary audience has a distinct functional route.,not_run,
B10,Brand,B10-AC02,No CTA leads to an ambiguous or circular destination.,not_run,
B10,Brand,B10-AC03,No non-functional form appears.,not_run,
B10,Brand,B10-AC04,Keyboard and screen-reader users can identify every action.,not_run,
B10,Brand,B10-AC05,No private contact information is published without permission.,not_run,
B10,Brand,B10-AC06,`node qa/check.mjs` passes.,not_run,
B11,Brand,B11-AC01,"The action report covers LinkedIn, GitHub, .ru, Setka, Scholar, Codeforces, Stepik, StackLevel and Century.",not_run,
B11,Brand,B11-AC02,Every proposed headline follows the brand strategy.,not_run,
B11,Brand,B11-AC03,Current site `sameAs` links are valid and relevant.,not_run,
B11,Brand,B11-AC04,Uncompleted external actions are clearly marked.,not_run,
B11,Brand,B11-AC05,`node qa/check.mjs` passes if repository files changed.,not_run,
T01,Technical,T01-AC01,All pages expose the same coherent navigation.,not_run,
T01,Technical,T01-AC02,Every label describes the page intent.,not_run,
T01,Technical,T01-AC03,All legacy URLs continue to resolve.,not_run,
T01,Technical,T01-AC04,Only one active page is marked with `aria-current`.,not_run,
T01,Technical,T01-AC05,Sitemap contains canonical indexable pages only.,not_run,
T01,Technical,T01-AC06,`node qa/check.mjs` passes.,not_run,
T02,Technical,T02-AC01,Every nav item is visible after one explicit menu action at 320 and 390 px.,not_run,
T02,Technical,T02-AC02,The menu is fully keyboard operable.,not_run,
T02,Technical,T02-AC03,Escape closes and restores focus.,not_run,
T02,Technical,T02-AC04,No hidden links are tabbable.,not_run,
T02,Technical,T02-AC05,The skip link is first or near-first in keyboard order and moves focus to main content.,not_run,
T02,Technical,T02-AC06,No general horizontal overflow at test widths.,not_run,
T02,Technical,T02-AC07,`node qa/check.mjs` passes.,not_run,
T03,Technical,T03-AC01,Normal meaningful text meets at least 4.5:1 and large text 3:1.,not_run,
T03,Technical,T03-AC02,No meaningful text renders below 11 px; target 12 px.,not_run,
T03,Technical,T03-AC03,Visible focus works on all controls.,not_run,
T03,Technical,T03-AC04,Reduced-motion users do not receive nonessential transitions.,not_run,
T03,Technical,T03-AC05,Content remains usable at 200% zoom and 320 px.,not_run,
T03,Technical,T03-AC06,`node qa/check.mjs` passes.,not_run,
T04,Technical,T04-AC01,"Every page's title, description, OG and X copy matches its visible purpose.",not_run,
T04,Technical,T04-AC02,All JSON-LD parses.,not_run,
T04,Technical,T04-AC03,One stable Person node is reused.,not_run,
T04,Technical,T04-AC04,No unverified role or education relation appears.,not_run,
