source_id,subject,supports,source_type,url,date,status,authority,allowed_use,caveat
S001,Current role at StackLevel Group,Vadim Vladymtsev is listed as CTO of StackLevel Group.,official company page,https://stacklevel.group/en/company,checked 2026-08-22,verified,high,"Personal current-role claim, subject to re-check if role changes.",Company client logos and company metrics do not prove Vadim's personal mandate.
S002,Century product recognition,StackLevel unveiled Century; Century received a third-place diploma in the AI Product Leader category at IT-Akademgrad.,official Hi-Tech Park news,https://www.park.by/en/press/news/IT-Akademgrad%20Forum%3A%20Hi-Tech%20Park%20residents%20among%20AI%20leaders./?special_version=Y,2025-10-13,verified,high,"Product recognition with exact category, placement, organiser and year.",Do not call this a personal award unless the source explicitly does so.
S003,Media quotation on emerging AI roles,"Quotes Vadim Vladymtsev, CTO at StackLevel, on GenAI Product Owner, LLMOps/MLOps, AI Governance, Model Risk, AI Evaluator and red-teaming roles.",media article,https://finance.mail.ru/article/novyie-roli-v-rabote-v-rossii-formiruetsya-ryinok-gibridnyih-professij-69194520/,2026-01-11,verified,medium-high,Verified media quotation/public-expertise record.,Use the outlet's exact title and date; do not imply a dedicated profile interview.
S004,Secondary publication of emerging AI roles article,Reprints or republishes the article containing Vadim's comments.,government employment-centre page,https://czn.mos.ru/ER/News/NewsCard/1455?_=Novye-roli-v-rabote-V-Rossii-formiruetsya-rynok-gibridnyh-professij,checked 2026-08-22,verified duplicate,medium,Backup source only.,Do not count as an independent second media appearance.
S005,Author article on pilot hell,Article authored by Vadim Vladymtsev: 'ИИ-пузырь внутри компании: антикейсы и стратегии выхода из «пилотного ада»'.,publication article,https://vaiti.io/ii-puzyr-vnutri-kompanii-antikejsy-i-strategii-vyhoda-iz-pilotnogo-ada/,2026-03-02,verified,medium,Verified authored article and thought-work record.,Link the article directly and preserve original language/title.
S006,Vaiti author page,Author page for Vadim Vladymtsev.,publisher author page,https://vaiti.io/author/001495/,checked 2026-08-22,verified,medium,Author identity/entity link.,Article-level links remain stronger evidence.
S007,M.AI.N AI Community appearance,"Announcement listing Vadim Vladymtsev, CTO StackLevel, for an AI-community event on practical AI technologies for business.",event organiser social post,https://www.instagram.com/p/DW7GULsDNwq/,event 2026-04-30,verified,medium,"Verified event appearance with organiser, date and topic.","Use as a public appearance, not proof of enterprise outcome."
S008,M.AI.N AI Community recap,Post-event recap associated with the same M.AI.N appearance.,event organiser social post,https://www.instagram.com/p/DXxP3ZIDJG0/,2026,verified,medium,Supporting event link.,Do not count announcement and recap as two appearances.
S009,M.AI.N video,Video associated with M.AI.N AI community.,event organiser video,https://www.facebook.com/academybelhard/videos/main-%D1%8D%D1%82%D0%BE-%D1%81%D0%BE%D0%BE%D1%89%D0%B5%D1%81%D1%82%D0%B2%D0%BE-%D1%8D%D0%BD%D1%82%D1%83%D0%B7%D0%B8%D0%B0%D1%81%D1%82%D0%BE%D0%B2-%D0%B8-%D0%BF%D1%80%D0%BE%D1%84%D0%B5%D1%81%D1%81%D0%B8%D0%BE%D0%BD%D0%B0%D0%BB%D0%BE%D0%B2-%D0%B2-%D0%BE%D0%B1%D0%BB%D0%B0%D1%81%D1%82%D0%B8-%D0%B8%D0%B8-%D0%B6%D0%BC%D0%B8%D1%82%D0%B5-%D0%BF%D0%BE%D0%B4%D1%80%D0%BE%D0%B1%D0%BD%D0%B5%D0%B5-%D0%B8-/849999760691267/,2026,verified,medium,Optional recording/evidence link.,Social platforms may be inaccessible to some crawlers.
S010,IT-Security conference,"Official programme lists Vadim Vladymtsev, representative of StackLevel Group, in a presidium discussion on AI in Belarus and neighbouring countries.",official event programme,https://its.it-event.by/2-uncategorised/61-programma,2026-03-18,verified,high,Verified conference/panel appearance with exact role and session.,Use programme wording; do not upgrade 'representative/presidium participant' to keynote.
S011,Vadim's IT-Security event post,Personal LinkedIn post about speaking at the IT-Security event.,first-party LinkedIn post,https://ru.linkedin.com/posts/vadimohka_18-%D0%BC%D0%B0%D1%80%D1%82%D0%B0-%D0%B2%D1%8B%D1%81%D1%82%D1%83%D0%BF%D0%B8%D0%BB-%D1%81%D0%BF%D0%B8%D0%BA%D0%B5%D1%80%D0%BE%D0%BC-%D0%BD%D0%B0-it-security-activity-7445756682011361280-_wwm,2026,verified first-party,medium,Supporting link; pair with official programme.,First-party statement is not independent proof by itself.
S012,Stepik course,Public course 'Основы Алгоритмизации и Программирования на языке С++: Начальный уровень'.,course platform,https://stepik.org/course/86957/promo,checked 2026-08-22,partially verified,medium,Course existence and exact title.,"The 4,700+ learner count was not independently confirmed in this audit; re-check current platform data before publishing a number."
S013,Codeforces profile,Profile links the name to Minsk/BSUIR and shows a maximum Expert rating of 1663.,technical competition profile,https://codeforces.com/profile/Vadimohka,checked 2026-08-22,verified,medium-high,Technical background and exact profile facts.,"Use as technical-history evidence, not enterprise business outcome."
S014,Google Scholar profile,A Google Scholar profile exists for the name and links to StackLevel/BSUIR context.,academic profile,https://scholar.google.com/citations?user=ccabRDYAAAAJ&hl=ru,checked 2026-08-22,partially verified,medium,Profile/entity link and publications that can be verified individually.,"Do not infer publication count, citations, or affiliation detail without accessible current data."
S015,BSUIR schedule profile,Public BSUIR schedule/profile supports teaching identity.,official university page,https://iis.bsuir.by/schedule/v-vladymtsev,checked 2026-08-22,verified,high,"Teaching role/context, subject to exact historical dates.",A schedule page may not establish full employment history.
S016,Northern Eurasia Finals 2022 coaching,BSUIR news mentions trainers Ivan Udovin and Vadim in relation to student programming teams.,official university news,https://www.bsuir.by/ru/news/109280-studenty-fksis-prizyory-sorevnovaniy-po-programmirovaniyu-northern-eurasia-finals-2022,2022,verified,high,Specific coaching record.,Does not prove aggregate team counts.
S017,BSUIR Open 2024,Official university article identifies Vadim in the organisation of the programming championship.,official university news,https://www.bsuir.by/ru/news/111685-zavershilsya-chempionat-bguir-po-sportivnomu-programmirovaniyu,2024,verified,high,Specific organiser/education record.,Keep exact event wording.
S018,Programming teams 2022,Official BSUIR article says Vadim helped teams preparing for an international student programming olympiad.,official university news,https://www.bsuir.by/ru/news/109069-bguir-na-mezhdunarodnoy-studencheskoy-olimpiade-po-programmirovaniyu--chetyre-komandy-proshli-v-polufinal,2022,verified,high,Specific coaching/support record.,Do not extrapolate aggregate results.
S019,ICPC world-finals coaching record,Official BSUIR article identifies Vadim and Ivan as trainers connected to a team reaching world finals.,official university news,https://www.bsuir.by/ru/news/111055-chs,2023,verified,high,Specific coaching outcome with careful attribution.,Credit the team; do not turn the team's result into a personal award.
S020,Olympiad school leadership,"Official BSUIR article describes Vadim as senior lecturer, head of the Olympiad school and coach.",official university news,https://www.bsuir.by/ru/news/111378-student-bguir-uchastvuet-v-igrakh-buduschego,2024,verified historical,high,Historical teaching/coaching title with date.,Do not present a historical title as current without re-check.
S021,Century product site,"Century is marketed as a corporate AI platform with private/on-prem/VPC deployment, local processing, audit/logging, APIs and connectors.",official product site,https://century-ai.ru/,checked 2026-08-22,verified product-level,high,"Product capability descriptions, provided the page still supports them.",The visible product site did not independently establish Vadim's exact role.
S022,LinkedIn profile,"Current public headline includes CTO, Head of R&D, AI Platform Architect, RAG Expert and sector labels.",controlled professional profile,https://by.linkedin.com/in/vadimohka,checked 2026-08-22,first-party,medium,Identity/profile link; use in consistency audit.,First-party titles require reconciliation with official company sources.
S023,Legacy .ru site,Legacy site presents divergent positioning such as Corporate AI Architect / R&D Director.,controlled legacy site,https://vadimohka.ru/,checked 2026-08-22,first-party,medium,Reputation and message-consistency audit.,Do not treat its self-authored claims as independent evidence.
S024,Setka profile,Public profile contains detailed claims and displayed a job-search status at audit time.,controlled professional profile,https://setka.ru/users/9c9dcca0-084b-4bf3-addf-1102cf4e4fd2,checked 2026-08-22,first-party,low-medium,External profile cleanup checklist only.,Current status may change; re-check before action.
S025,Claude Foundations certificate,Certificate verification URL exists.,credential verification,https://verify.skilljar.com/c/boo5cp3yw29k,checked 2026-08-22,verified low-authority,low,Secondary credentials only.,Do not use as top-level CTO authority proof.
S026,Public repository,Current site is a static GitHub Pages repository with no build step and dependency-free baseline QA.,public source repository,https://github.com/Vadimohka/vadimohka.com,checked 2026-08-22,verified,high,Technical architecture and source audit.,Always inspect the current branch before implementation.
S027,Current .com site,"Current public copy, metadata, navigation, claims and conversion routes.",controlled website,https://vadimohka.com/,checked 2026-08-22,first-party,medium,"Current-state audit, not independent claim proof.",Self-authored content cannot verify itself.
