claim_id,claim,status,evidence_ids,scope,risk,allowed_copy,owner_action
C001,Vadim Vladymtsev is CTO at StackLevel Group.,verified,S001,personal current role,"low, re-check role",CTO at StackLevel Group,None unless role changes.
C002,Century received third place in the AI Product Leader category at IT-Akademgrad 2025.,verified,S002,product recognition,low,"Century — 3rd place, AI Product Leader, IT-Akademgrad 2025",Do not convert to a personal award.
C003,Vadim is Co-Founder and/or CTO of Century.,owner confirmation required,"S021,S027",personal role,medium-high,"Use only after exact title, legal/product relationship and dates are confirmed.","Confirm exact title, start date and public wording."
C004,"Vadim builds enterprise AI products for banks, fintech and investment companies.",partially supported / overbroad,"S001,S021,S027",personal client-sector experience,high,Focus: governed private AI for regulated organisations. Name sectors only with a personal case or owner-approved anonymised evidence.,Provide approved cases and personal mandate.
C005,Vadim has taught 700+ students.,owner-reported,"S015,S016,S017,S018,S019,S020",aggregate education metric,medium,Teaching and coaching at BSUIR; use 700+ only with a reproducible count/source.,"Provide calculation, date and source."
C006,"Vadim's Stepik course has 4,700+ learners.",partially verified,S012,course reach metric,medium,Creator of a public C++ algorithms course on Stepik. Add learner count only after current platform verification.,Provide dated screenshot/export or allow current platform check.
C007,Vadim coached 200+ programming teams.,owner-reported with partial contextual support,"S016,S017,S018,S019,S020",aggregate coaching metric,medium-high,Coach and organiser of competitive-programming teams/events at BSUIR. Use 200+ only with method and source.,"Provide seasons, event/team count and evidence."
C008,Vadim taught and coached at BSUIR.,verified historical/contextual,"S015,S016,S017,S018,S019,S020",personal background,low,"Former BSUIR lecturer and competitive-programming coach, with dates where possible.",Confirm exact employment dates.
C009,Vadim has a Codeforces Expert maximum rating of 1663.,verified,S013,technical background,low,"Codeforces maximum rating: Expert, 1663.",Optional; keep secondary.
C010,Vadim has a Google Scholar profile and academic/publication record.,partially verified,S014,academic profile,medium,Link the profile and separately verify each publication used.,Confirm preferred public profile and relevant works.
C011,Vadim was quoted in media on emerging AI roles.,verified,"S003,S004",public expertise,low,"Quoted by Finance Mail.ru on emerging AI roles, 11 Jan 2026.",None.
C012,Vadim authored an article on escaping enterprise AI pilot hell.,verified,"S005,S006",authored article,low,Author of the 2 Mar 2026 Vaiti article on enterprise AI 'pilot hell'.,None.
C013,Vadim spoke at M.AI.N AI Community.,verified,"S007,S008,S009",public appearance,low-medium,"Speaker at M.AI.N AI Community, 30 Apr 2026, with exact topic from organiser source.",Choose preferred source/recording link.
C014,Vadim spoke or participated at IT-Security 2026.,verified,"S010,S011",public appearance,low,Participant in the IT-Security 2026 discussion on AI in Belarus and neighbouring countries; use exact programme role.,None.
C015,Vadim has completed AI technical diligence mandates for investors.,unverified,,commercial track record,high,"Describe a diligence framework or available service, not completed mandates.","Provide count, permitted descriptions, deliverables and references if true."
C016,Vadim has direct experience with international corporations.,unverified/overbroad,S027,personal client experience,high,Omit or replace with a verified case.,Provide approved attribution or anonymised evidence.
C017,Vadim has an MIPT credential or affiliation.,insufficiently specified,S027,education,high,"Omit until programme, credential, institution unit and dates are exact.",Provide exact credential and verification URL.
C018,Vadim holds a Claude Foundations certificate.,verified low-authority,S025,secondary credential,low,"May appear in a secondary credential list, not in hero or top proof.",None.
C019,StackLevel's company clients or metrics prove Vadim's personal work.,not valid,S001,attribution rule,critical if misused,"Never attribute a client, outcome or metric to Vadim without personal-role evidence.",Provide personal mandate for any permitted company case.
C020,"Century supports private/on-prem/VPC deployment, local processing, audit/logging and integrations.",verified product-level,S021,product capability,low-medium,Use current product-site wording and re-check before publishing.,Confirm product naming and any capability restrictions.
C021,"Vadim is an investor, capital allocator or established board-level figure.",unsupported,,professional identity,high,Do not use.,"Only revisit with direct, verifiable roles."
C022,Vadim is a global industry leader or established thought leader.,unsupported,"S003,S005,S007,S010",reputation,high,"Use 'speaker', 'author', or 'technical expert' tied to verified records.",Build an independent publication and speaking corpus first.
C023,The Setka profile's current job-search status is aligned with the executive brand.,reputation conflict to re-check,S024,external profile consistency,medium,No site copy; update or remove the external status if no longer accurate.,Review Setka profile.
C024,The old .ru site communicates the same primary identity as the .com site.,false at audit time,"S023,S027",entity consistency,medium-high,No public claim; consolidate or clearly separate language/legacy strategy.,"Choose redirect, rebuild, or deprecation plan."
